Item,Trial Type,Min Time,Max Time,TrialNum,Settings,Settings2,Text,Shuffle,"AdvShuffle; target A, B, F",Phase,ArtistNum,Schedule
,instruct,,user,,,,"<p>In this phase of the experiment, you will make similarity judgments for paintings you have encountered over the course of the experiment.</p><p>You will see a grid of 9 images on the screen. Click the two images that you believe look the most similar to the center image. Your first selection should be the image that you think looks most similar. </p><p>After you make your selection(s), a new display will be shown. </p><p><strong>Be sure to consider all images carefully when you are making your choices. </strong></p><p>Click ""next"" to begin the task.</p>",off,,,,
,similarityJudgmentTimed,,user,1,"""sets"":""1,2""","""status_message"": ""trial 1 of 88"", ""status_progress"": 0.0113636363636364",,off,sj2.1,SJ2,,Interleaved
,similarityJudgmentTimed,,user,2,"""sets"":""1,2""","""status_message"": ""trial 2 of 88"", ""status_progress"": 0.0227272727272727",,off,sj2.1,SJ2,,Interleaved
,similarityJudgmentTimed,,user,3,"""sets"":""1,2""","""status_message"": ""trial 3 of 88"", ""status_progress"": 0.0340909090909091",,off,sj2.1,SJ2,,Interleaved
,similarityJudgmentTimed,,user,4,"""sets"":""1,2""","""status_message"": ""trial 4 of 88"", ""status_progress"": 0.0454545454545455",,off,sj2.1,SJ2,,Interleaved
,similarityJudgmentTimed,,user,5,"""sets"":""1,2""","""status_message"": ""trial 5 of 88"", ""status_progress"": 0.0568181818181818",,off,sj2.1,SJ2,,Interleaved
,similarityJudgmentTimed,,user,6,"""sets"":""1,2""","""status_message"": ""trial 6 of 88"", ""status_progress"": 0.0681818181818182",,off,sj2.1,SJ2,,Interleaved
,similarityJudgmentTimed,,user,7,"""sets"":""1,2""","""status_message"": ""trial 7 of 88"", ""status_progress"": 0.0795454545454545",,off,sj2.1,SJ2,,Interleaved
,similarityJudgmentTimed,,user,8,"""sets"":""1,2""","""status_message"": ""trial 8 of 88"", ""status_progress"": 0.0909090909090909",,off,sj2.1,SJ2,,Interleaved
,similarityJudgmentTimed,,user,9,"""sets"":""1,2""","""status_message"": ""trial 9 of 88"", ""status_progress"": 0.102272727272727",,off,sj2.1,SJ2,,Interleaved
,similarityJudgmentTimed,,user,10,"""sets"":""1,2""","""status_message"": ""trial 10 of 88"", ""status_progress"": 0.113636363636364",,off,sj2.1,SJ2,,Interleaved
,similarityJudgmentTimed,,user,11,"""sets"":""1,2""","""status_message"": ""trial 11 of 88"", ""status_progress"": 0.125",,off,sj2.1,SJ2,,Interleaved
